index,name,size,type,subtype,alignment,armor_class,armor_type,hit_points,hit_dice,speed,strength,dexterity,constitution,intelligence,wisdom,charisma,saving_throws,skills,senses,languages,challenge_rating,xp,proficiency_bonus,special_abilities,actions,reactions,legendary_actions,legendary_desc,source
aboleth,Aboleth,Large,Aberration,,lawful evil,17,natural armor,135,18d10+36,"{""walk"": ""10 ft."", ""swim"": ""40 ft.""}",21,9,15,18,15,18,"{""constitution"": 6, ""intelligence"": 8, ""wisdom"": 6}","{""history"": 12, ""perception"": 10}","{""darkvision"": ""120 ft."", ""passive_perception"": 20}","Deep Speech, telepathy 120 ft.",10,5900,4,"[{""name"": ""Amphibious"", ""desc"": ""The aboleth can breathe air and water.""}, {""name"": ""Mucous Cloud"", ""desc"": ""While underwater, the aboleth is surrounded by transformative mucus.""}, {""name"": ""Probing Telepathy"", ""desc"": ""If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires.""}]","[{""name"": ""Multiattack"", ""desc"": ""The aboleth makes three tentacle attacks.""}, {""name"": ""Tentacle"", ""desc"": ""Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage.""}, {""name"": ""Tail"", ""desc"": ""Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 15 (3d6 + 5) bludgeoning damage.""}, {""name"": ""Enslave"", ""desc"": ""The aboleth targets one creature it can see within 30 feet.""}]","[{""name"": ""Legendary Actions"", ""desc"": ""The aboleth can take 3 legendary actions.""}]","[{""name"": ""Detect"", ""desc"": ""The aboleth makes a Wisdom (Perception) check.""}, {""name"": ""Tail Swipe"", ""desc"": ""The aboleth makes one tail attack.""}, {""name"": ""Psychic Drain (Costs 2 Actions)"", ""desc"": ""One creature charmed by the aboleth takes 10 (3d6) psychic damage.""}]",The aboleth can take 3 legendary actions.,OFFICIAL
acolyte,Acolyte,Medium,Humanoid,any race,any,10,,9,2d8,"{""walk"": ""30 ft.""}",10,10,10,10,14,11,,,"{""passive_perception"": 12}",any one language (usually Common),1/4,50,2,"[{""name"": ""Spellcasting"", ""desc"": ""The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). Cantrips: light, sacred flame, thaumaturgy. 1st level (3 slots): bless, cure wounds, sanctuary.""}]","[{""name"": ""Club"", ""desc"": ""Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.""}]",,,,OFFICIAL
adult-black-dragon,Adult Black Dragon,Huge,Dragon,,chaotic evil,19,natural armor,195,17d12+85,"{""walk"": ""40 ft."", ""fly"": ""80 ft."", ""swim"": ""40 ft.""}",23,14,21,14,13,17,"{""dexterity"": 7, ""constitution"": 10, ""wisdom"": 6, ""charisma"": 8}","{""perception"": 11, ""stealth"": 7}","{""blindsight"": ""60 ft."", ""darkvision"": ""120 ft."", ""passive_perception"": 21}","Common, Draconic",14,11500,5,"[{""name"": ""Amphibious"", ""desc"": ""The dragon can breathe air and water.""}, {""name"": ""Legendary Resistance (3/Day)"", ""desc"": ""If the dragon fails a saving throw, it can choose to succeed instead.""}]","[{""name"": ""Multiattack"", ""desc"": ""The dragon can use its Frightful Presence. It then makes three attacks.""}, {""name"": ""Bite"", ""desc"": ""Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage.""}, {""name"": ""Claw"", ""desc"": ""Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.""}, {""name"": ""Tail"", ""desc"": ""Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.""}, {""name"": ""Acid Breath (Recharge 5-6)"", ""desc"": ""The dragon exhales acid in a 60-foot line. DC 18 Dexterity save, 54 (12d8) acid damage.""}]",,"[{""name"": ""Detect"", ""desc"": ""The dragon makes a Wisdom (Perception) check.""}, {""name"": ""Tail Attack"", ""desc"": ""The dragon makes a tail attack.""}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""desc"": ""The dragon beats its wings. DC 19 Dexterity save or take 13 (2d6 + 6) bludgeoning damage and be knocked prone.""}]",The dragon can take 3 legendary actions.,OFFICIAL
adult-blue-dragon,Adult Blue Dragon,Huge,Dragon,,lawful evil,19,natural armor,225,18d12+108,"{""walk"": ""40 ft."", ""burrow"": ""30 ft."", ""fly"": ""80 ft.""}",25,10,23,16,15,19,"{""dexterity"": 5, ""constitution"": 11, ""wisdom"": 7, ""charisma"": 9}","{""perception"": 12, ""stealth"": 5}","{""blindsight"": ""60 ft."", ""darkvision"": ""120 ft."", ""passive_perception"": 22}","Common, Draconic",16,15000,5,"[{""name"": ""Legendary Resistance (3/Day)"", ""desc"": ""If the dragon fails a saving throw, it can choose to succeed instead.""}]","[{""name"": ""Multiattack"", ""desc"": ""The dragon can use its Frightful Presence. It then makes three attacks.""}, {""name"": ""Bite"", ""desc"": ""Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.""}, {""name"": ""Claw"", ""desc"": ""Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.""}, {""name"": ""Tail"", ""desc"": ""Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage.""}, {""name"": ""Lightning Breath (Recharge 5-6)"", ""desc"": ""The dragon exhales lightning in a 90-foot line. DC 19 Dexterity save, 66 (12d10) lightning damage.""}]",,"[{""name"": ""Detect"", ""desc"": ""The dragon makes a Wisdom (Perception) check.""}, {""name"": ""Tail Attack"", ""desc"": ""The dragon makes a tail attack.""}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""desc"": ""DC 20 Dexterity save or take 14 (2d6 + 7) bludgeoning damage and be knocked prone.""}]",The dragon can take 3 legendary actions.,OFFICIAL
adult-red-dragon,Adult Red Dragon,Huge,Dragon,,chaotic evil,19,natural armor,256,19d12+133,"{""walk"": ""40 ft."", ""climb"": ""40 ft."", ""fly"": ""80 ft.""}",27,10,25,16,13,21,"{""dexterity"": 6, ""constitution"": 13, ""wisdom"": 7, ""charisma"": 11}","{""perception"": 13, ""stealth"": 6}","{""blindsight"": ""60 ft."", ""darkvision"": ""120 ft."", ""passive_perception"": 23}","Common, Draconic",17,18000,6,"[{""name"": ""Legendary Resistance (3/Day)"", ""desc"": ""If the dragon fails a saving throw, it can choose to succeed instead.""}]","[{""name"": ""Multiattack"", ""desc"": ""The dragon can use its Frightful Presence. It then makes three attacks.""}, {""name"": ""Bite"", ""desc"": ""Melee Weapon Attack: +14 to hit, reach 10 ft. Hit: 19 (2d10 + 8) piercing damage plus 7 (2d6) fire damage.""}, {""name"": ""Claw"", ""desc"": ""Melee Weapon Attack: +14 to hit, reach 5 ft. Hit: 15 (2d6 + 8) slashing damage.""}, {""name"": ""Tail"", ""desc"": ""Melee Weapon Attack: +14 to hit, reach 15 ft. Hit: 17 (2d8 + 8) bludgeoning damage.""}, {""name"": ""Fire Breath (Recharge 5-6)"", ""desc"": ""60-foot cone. DC 21 Dexterity save, 63 (18d6) fire damage.""}]",,"[{""name"": ""Detect"", ""desc"": ""Wisdom (Perception) check.""}, {""name"": ""Tail Attack"", ""desc"": ""The dragon makes a tail attack.""}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""desc"": ""DC 22 Dexterity save or take 15 (2d6 + 8) bludgeoning damage and be knocked prone.""}]",The dragon can take 3 legendary actions.,OFFICIAL
goblin,Goblin,Small,Humanoid,goblinoid,neutral evil,15,leather armor shield,7,2d6,"{""walk"": ""30 ft.""}",8,14,10,10,8,8,,"{""stealth"": 6}","{""darkvision"": ""60 ft."", ""passive_perception"": 9}","Common, Goblin",1/4,50,2,"[{""name"": ""Nimble Escape"", ""desc"": ""The goblin can take the Disengage or Hide action as a bonus action on each of its turns.""}]","[{""name"": ""Scimitar"", ""desc"": ""Melee Weapon Attack: +4 to hit, reach 5 ft. Hit: 5 (1d6 + 2) slashing damage.""}, {""name"": ""Shortbow"", ""desc"": ""Ranged Weapon Attack: +4 to hit, range 80/320 ft. Hit: 5 (1d6 + 2) piercing damage.""}]",,,,OFFICIAL
hobgoblin,Hobgoblin,Medium,Humanoid,goblinoid,lawful evil,18,chain mail shield,11,2d8+2,"{""walk"": ""30 ft.""}",13,12,12,10,10,9,,,"{""darkvision"": ""60 ft."", ""passive_perception"": 10}","Common, Goblin",1/2,100,2,"[{""name"": ""Martial Advantage"", ""desc"": ""Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally.""}]","[{""name"": ""Longsword"", ""desc"": ""Melee Weapon Attack: +3 to hit, reach 5 ft. Hit: 5 (1d8 + 1) slashing damage.""}, {""name"": ""Longbow"", ""desc"": ""Ranged Weapon Attack: +3 to hit, range 150/600 ft. Hit: 5 (1d8 + 1) piercing damage.""}]",,,,OFFICIAL
bugbear,Bugbear,Medium,Humanoid,goblinoid,chaotic evil,16,hide armor shield,27,5d8+5,"{""walk"": ""30 ft.""}",15,14,13,8,11,9,,"{""stealth"": 6, ""survival"": 2}","{""darkvision"": ""60 ft."", ""passive_perception"": 10}","Common, Goblin",1,200,2,"[{""name"": ""Brute"", ""desc"": ""A melee weapon deals one extra die of its damage when the bugbear hits with it.""}, {""name"": ""Surprise Attack"", ""desc"": ""If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage.""}]","[{""name"": ""Morningstar"", ""desc"": ""Melee Weapon Attack: +4 to hit, reach 5 ft. Hit: 11 (2d8 + 2) piercing damage.""}, {""name"": ""Javelin"", ""desc"": ""Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft. Hit: 9 (2d6 + 2) piercing damage.""}]",,,,OFFICIAL
kobold,Kobold,Small,Humanoid,kobold,lawful evil,12,,5,2d6-2,"{""walk"": ""30 ft.""}",7,15,9,8,7,8,,,"{""darkvision"": ""60 ft."", ""passive_perception"": 8}","Common, Draconic",1/8,25,2,"[{""name"": ""Sunlight Sensitivity"", ""desc"": ""While in sunlight, the kobold has disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight.""}, {""name"": ""Pack Tactics"", ""desc"": ""The kobold has advantage on attack rolls against a creature if at least one of the kobold's allies is within 5 feet of the creature.""}]","[{""name"": ""Dagger"", ""desc"": ""Melee Weapon Attack: +4 to hit, reach 5 ft. Hit: 4 (1d4 + 2) piercing damage.""}, {""name"": ""Sling"", ""desc"": ""Ranged Weapon Attack: +4 to hit, range 30/120 ft. Hit: 4 (1d4 + 2) bludgeoning damage.""}]",,,,OFFICIAL
orc,Orc,Medium,Humanoid,orc,chaotic evil,13,hide armor,15,2d8+6,"{""walk"": ""30 ft.""}",16,12,16,7,11,10,,"{""intimidation"": 2}","{""darkvision"": ""60 ft."", ""passive_perception"": 10}","Common, Orc",1/2,100,2,"[{""name"": ""Aggressive"", ""desc"": ""As a bonus action, the orc can move up to its speed toward a hostile creature that it can see.""}]","[{""name"": ""Greataxe"", ""desc"": ""Melee Weapon Attack: +5 to hit, reach 5 ft. Hit: 9 (1d12 + 3) slashing damage.""}, {""name"": ""Javelin"", ""desc"": ""Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 30/120 ft. Hit: 6 (1d6 + 3) piercing damage.""}]",,,,OFFICIAL
