name,level,school,casting_time,range,components,material_components,duration,concentration,ritual,description,higher_levels,source
Acid Splash,0,Conjuration,1 action,60 feet,V S,,Instantaneous,false,false,"You hurl a bubble of acid. Choose one creature you can see within range, or choose two creatures you can see within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.","This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",OFFICIAL
Blade Ward,0,Abjuration,1 action,Self,V S,,1 round,false,false,"You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.",,OFFICIAL
Booming Blade,0,Evocation,1 action,Self (5-foot radius),S M,a melee weapon worth at least 1 sp,1 round,false,false,"You brandish the weapon used in the spell's casting and make a melee attack with it against one creature within 5 feet of you. On a hit, the target suffers the weapon attack's normal effects and then becomes sheathed in booming energy until the start of your next turn. If the target willingly moves 5 feet or more before then, the target takes 1d8 thunder damage, and the spell ends.","At 5th level, the melee attack deals an extra 1d8 thunder damage to the target on a hit, and the damage the target takes for moving increases to 2d8. Both damage rolls increase by 1d8 at 11th level (2d8 and 3d8) and again at 17th level (3d8 and 4d8).",OFFICIAL
Chill Touch,0,Necromancy,1 action,120 feet,V S,,1 round,false,false,"You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit, the target takes 1d8 necrotic damage, and it can't regain hit points until the start of your next turn. Until then, the hand clings to the target. If you hit an undead target, it also has disadvantage on attack rolls against you until the end of your next turn.","This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",OFFICIAL
Control Flames,0,Transmutation,1 action,60 feet,S,,Instantaneous or 1 hour,false,false,"You choose nonmagical flame that you can see within range and that fits within a 5-foot cube. You affect it in one of the following ways: You instantaneously expand the flame 5 feet in one direction. You instantaneously extinguish the flames within the cube. You double or halve the area of bright light and dim light cast by the flame. You cause simple shapes to appear within the flames. The shapes last for 1 hour.",,OFFICIAL
Create Bonfire,0,Conjuration,1 action,60 feet,V S,,1 minute,true,false,"You create a bonfire on ground that you can see within range. Until the spell ends, the magic bonfire fills a 5-foot cube. Any creature in the bonfire's space when you cast the spell must succeed on a Dexterity saving throw or take 1d8 fire damage. A creature must also make the saving throw when it moves into the bonfire's space for the first time on a turn or ends its turn there.","The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",OFFICIAL
Dancing Lights,0,Evocation,1 action,120 feet,V S M,a bit of phosphorus or wychwood or a glowworm,1 minute,true,false,"You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius.",,OFFICIAL
Druidcraft,0,Transmutation,1 action,30 feet,V S,,Instantaneous,false,false,"Whispering to the spirits of nature, you create one of the following effects within range: You create a tiny, harmless sensory effect that predicts what the weather will be at your location for the next 24 hours. You instantly make a flower blossom, a seed pod open, or a leaf bud bloom. You create an instantaneous, harmless sensory effect, such as falling leaves, a puff of wind, the sound of a small animal, or the faint odor of skunk. You instantly light or snuff out a candle, a torch, or a small campfire.",,OFFICIAL
Eldritch Blast,0,Evocation,1 action,120 feet,V S,,Instantaneous,false,false,"A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage.","The spell creates more than one beam when you reach higher levels: two beams at 5th level, three beams at 11th level, and four beams at 17th level. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam.",OFFICIAL
Encode Thoughts,0,Enchantment,1 action,Self,S,,8 hours,false,false,"Putting a finger to your head, you pull a memory, an idea, or a message from your mind and transform it into a tangible string of glowing energy called a thought strand, which persists for the duration or until you cast this spell again.",,OFFICIAL
